Date,Height (cm),Weight (kg),Gender
2020-01-01,142.2264944,42.89691908,Boy
2020-01-02,142.3159823,42.93815173,Boy
2020-01-03,142.4521885,42.95254412,Boy
2020-01-04,142.5067591,42.88730648,Boy
2020-01-05,142.3554887,42.90780639,Boy
2020-01-06,142.2516889,42.84430203,Boy
2020-01-07,142.3276703,42.80660091,Boy
2020-01-08,142.3625882,42.76515211,Boy
2020-01-09,142.347132,42.68266191,Boy
2020-01-10,142.5335626,42.64580991,Boy
2020-01-11,142.2430561,42.74645976,Boy
2020-01-12,142.2340692,42.69822934,Boy
2020-01-13,142.2632723,42.61126591,Boy
2020-01-14,142.2722382,42.5501008,Boy
2020-01-15,142.162737,42.72927174,Boy
2020-01-16,142.2122995,42.72707343,Boy
2020-01-17,142.2419595,42.65629667,Boy
2020-01-18,142.2607702,42.64668007,Boy
2020-01-19,142.0809421,42.89959351,Boy
2020-01-20,142.3295485,42.83672336,Boy
2020-01-21,142.4858305,42.7530861,Boy
2020-01-22,142.5909273,42.82412532,Boy
2020-01-23,142.5796157,42.80830851,Boy
2020-01-24,142.5782971,42.85336026,Boy
2020-01-25,142.5991827,42.71166143,Boy
2020-01-26,142.7543756,42.7277322,Boy
2020-01-27,142.8023472,42.75803729,Boy
2020-01-28,142.681507,42.72930923,Boy
2020-01-29,142.4754464,42.69381661,Boy
2020-01-30,142.6728649,42.7634297,Boy
2020-01-31,142.8885338,42.61512957,Boy
2020-02-01,142.9104849,42.5773081,Boy
2020-02-02,142.8671128,42.68824042,Boy
2020-02-03,142.9500308,42.6082146,Boy
2020-02-04,143.0909763,42.48161061,Boy
2020-02-05,143.274231,42.44566261,Boy
2020-02-06,143.1682765,42.38046882,Boy
2020-02-07,143.2819814,42.61980923,Boy
2020-02-08,143.2148667,42.86912239,Boy
2020-02-09,143.2450253,42.82241606,Boy
2020-02-10,143.1782369,42.74144562,Boy
2020-02-11,143.1923268,42.79825671,Boy
2020-02-12,143.1416098,42.84619338,Boy
2020-02-13,143.1161918,42.85696585,Boy
2020-02-14,143.3415837,42.90593676,Boy
2020-02-15,143.4241926,42.91187145,Boy
2020-02-16,143.6158455,42.79358342,Boy
2020-02-17,143.6208141,42.8453923,Boy
2020-02-18,143.5399365,42.81448992,Boy
2020-02-19,143.5548378,42.85386789,Boy
2020-02-20,143.4797145,42.78654706,Boy
2020-02-21,143.428188,42.7363254,Boy
2020-02-22,143.217195,42.6308279,Boy
2020-02-23,143.0817786,42.54228763,Boy
2020-02-24,143.0895254,42.53369389,Boy
2020-02-25,143.0819122,42.53766265,Boy
2020-02-26,143.2337209,42.522375,Boy
2020-02-27,143.2228573,42.48756969,Boy
2020-02-28,143.2074961,42.51305281,Boy
2020-02-29,143.188787,42.47981763,Boy
2020-03-01,143.1881294,42.439217,Boy
2020-03-02,143.1572523,42.49681325,Boy
2020-03-03,143.1547758,42.39303414,Boy
2020-03-04,143.1955198,42.24900597,Boy
2020-03-05,143.2074784,42.38021313,Boy
2020-03-06,143.1701093,42.26211506,Boy
2020-03-07,143.2124577,42.20559396,Boy
2020-03-08,143.3659963,42.06001838,Boy
2020-03-09,143.4084639,42.13271687,Boy
2020-03-10,143.4124222,42.13177056,Boy
2020-03-11,143.5212792,42.19122909,Boy
2020-03-12,143.5356969,42.30252977,Boy
2020-03-13,143.4591386,42.38755882,Boy
2020-03-14,143.4953536,42.25410863,Boy
2020-03-15,143.3588301,42.15208869,Boy
2020-03-16,143.3339343,42.27168727,Boy
2020-03-17,143.5285809,42.28069821,Boy
2020-03-18,143.4241378,42.23893835,Boy
2020-03-19,143.4100775,42.3590881,Boy
2020-03-20,143.4121997,42.41870334,Boy
2020-03-21,143.428057,42.29997054,Boy
2020-03-22,143.3938714,42.32818481,Boy
2020-03-23,143.5216042,42.39442012,Boy
2020-03-24,143.5594495,42.43136536,Boy
2020-03-25,143.6073839,42.62489182,Boy
2020-03-26,143.6383394,42.56170206,Boy
2020-03-27,143.5977794,42.41870717,Boy
2020-03-28,143.738265,42.51679638,Boy
2020-03-29,143.6735513,42.67578,Boy
2020-03-30,143.4925942,42.52334335,Boy
2020-03-31,143.5358149,42.67906316,Boy
2020-04-01,143.5228355,42.67585669,Boy
2020-04-02,143.464498,42.7278166,Boy
2020-04-03,143.3699574,43.01663729,Boy
2020-04-04,143.3984186,42.95068911,Boy
2020-04-05,143.2616098,43.09130759,Boy
2020-04-06,143.3467876,43.11112191,Boy
2020-04-07,143.3268481,43.06307608,Boy
2020-04-08,143.2776123,42.96851754,Boy
