Date,Height (cm),Weight (kg),Gender
2020-01-01,129.4374374,32.39770988,Girl
2020-01-02,129.3552901,32.32917771,Girl
2020-01-03,129.3461692,32.36546569,Girl
2020-01-04,129.2715477,32.48737885,Girl
2020-01-05,129.2803102,32.26844718,Girl
2020-01-06,129.2520833,32.39000855,Girl
2020-01-07,129.2207307,32.34409209,Girl
2020-01-08,129.3105708,32.22669337,Girl
2020-01-09,129.4784389,32.31535202,Girl
2020-01-10,129.3862549,32.37614525,Girl
2020-01-11,129.5141156,32.43845288,Girl
2020-01-12,129.6284234,32.46755117,Girl
2020-01-13,129.6921067,32.60656264,Girl
2020-01-14,129.678449,32.71734484,Girl
2020-01-15,129.7735622,32.60811026,Girl
2020-01-16,129.6966639,32.48726836,Girl
2020-01-17,129.7679255,32.47820666,Girl
2020-01-18,129.7296747,32.47346284,Girl
2020-01-19,129.7853768,32.47768313,Girl
2020-01-20,129.7372643,32.49052367,Girl
2020-01-21,129.7357605,32.69303848,Girl
2020-01-22,129.8131535,32.6558792,Girl
2020-01-23,129.6641991,32.61186012,Girl
2020-01-24,129.544933,32.64412047,Girl
2020-01-25,129.7913558,32.65318427,Girl
2020-01-26,129.7615136,32.77236269,Girl
2020-01-27,129.7541491,32.70976019,Girl
2020-01-28,129.8030354,32.63492592,Girl
2020-01-29,129.7687415,32.52321205,Girl
2020-01-30,129.6040009,32.487637,Girl
2020-01-31,129.4227264,32.55157561,Girl
2020-02-01,129.4762796,32.62461633,Girl
2020-02-02,129.5243018,32.71680924,Girl
2020-02-03,129.50976,32.74391466,Girl
2020-02-04,129.3234113,32.78294176,Girl
2020-02-05,129.1717293,32.7508947,Girl
2020-02-06,129.0489327,32.5826003,Girl
2020-02-07,128.9540152,32.509635,Girl
2020-02-08,129.1972785,32.56942178,Girl
2020-02-09,129.2116239,32.63292691,Girl
2020-02-10,129.0937335,32.77427076,Girl
2020-02-11,129.1817224,32.65289007,Girl
2020-02-12,129.3585823,32.49543273,Girl
2020-02-13,129.2689261,32.48663131,Girl
2020-02-14,129.4208452,32.52974202,Girl
2020-02-15,129.3964296,32.59349595,Girl
2020-02-16,129.5158294,32.66693222,Girl
2020-02-17,129.6104584,32.80411795,Girl
2020-02-18,129.6792488,32.86520544,Girl
2020-02-19,129.6845596,32.78351212,Girl
2020-02-20,129.7333504,32.84200711,Girl
2020-02-21,129.6425,32.78675133,Girl
2020-02-22,129.7562415,32.76665645,Girl
2020-02-23,129.7796648,32.83267725,Girl
2020-02-24,129.7698513,32.67536514,Girl
2020-02-25,129.6632589,32.62112526,Girl
2020-02-26,129.7966703,32.67779308,Girl
2020-02-27,129.9281419,32.63227317,Girl
2020-02-28,129.9467812,32.57675023,Girl
2020-02-29,130.0771099,32.75038719,Girl
2020-03-01,130.0415802,32.86156237,Girl
2020-03-02,130.1778191,33.07198981,Girl
2020-03-03,130.1866921,33.03724831,Girl
2020-03-04,130.394242,33.12811928,Girl
2020-03-05,130.533858,33.25690582,Girl
2020-03-06,130.4928179,33.34131369,Girl
2020-03-07,130.6098284,33.26610905,Girl
2020-03-08,130.6225395,33.34504841,Girl
2020-03-09,130.5312212,33.20825262,Girl
2020-03-10,130.5277577,33.08187585,Girl
2020-03-11,130.5335158,33.1982822,Girl
2020-03-12,130.6836746,33.24201104,Girl
2020-03-13,130.719541,33.29321818,Girl
2020-03-14,130.7028569,33.23374164,Girl
2020-03-15,130.6202281,33.23173046,Girl
2020-03-16,130.5482131,33.01131452,Girl
2020-03-17,130.4167748,33.05088394,Girl
2020-03-18,130.2692145,33.08132819,Girl
2020-03-19,130.2114752,33.11325481,Girl
2020-03-20,130.1651365,33.26004631,Girl
2020-03-21,130.2834506,33.33848559,Girl
2020-03-22,130.2570641,33.42590178,Girl
2020-03-23,130.3228239,33.3510005,Girl
2020-03-24,130.4497537,33.26658655,Girl
2020-03-25,130.1190011,33.27889406,Girl
2020-03-26,130.075866,33.3381887,Girl
2020-03-27,130.1512239,33.42215516,Girl
2020-03-28,130.1539953,33.56271604,Girl
2020-03-29,130.1691941,33.66078558,Girl
2020-03-30,130.3383533,33.60027146,Girl
2020-03-31,130.3054502,33.65598241,Girl
2020-04-01,130.1941177,33.74893434,Girl
2020-04-02,130.1626701,33.84628433,Girl
2020-04-03,130.2936494,33.81928779,Girl
2020-04-04,130.1742162,33.89062391,Girl
2020-04-05,130.2158233,33.75390079,Girl
2020-04-06,130.2557549,33.7833296,Girl
2020-04-07,130.3906714,33.70855818,Girl
2020-04-08,130.5368878,33.62923917,Girl
2020-04-09,130.5188158,33.6203443,Girl
2020-04-10,130.2974617,33.62106146,Girl
2020-04-11,130.4280035,33.47560243,Girl
2020-04-12,130.2824531,33.54859697,Girl
2020-04-13,130.2827216,33.6050679,Girl
2020-04-14,130.4105479,33.7988132,Girl
2020-04-15,130.688174,33.87133959,Girl
2020-04-16,130.522506,33.70587586,Girl
2020-04-17,130.520205,33.57108341,Girl
2020-04-18,130.5615345,33.63231951,Girl
2020-04-19,130.5702379,33.56468624,Girl
2020-04-20,130.7237845,33.47943546,Girl
2020-04-21,130.8703819,33.55644579,Girl
2020-04-22,130.7593971,33.59817292,Girl
2020-04-23,130.7960537,33.54268141,Girl
2020-04-24,130.8606637,33.53497308,Girl
2020-04-25,130.8533119,33.5656727,Girl
2020-04-26,130.9893489,33.47554964,Girl
2020-04-27,130.8973754,33.52768004,Girl
2020-04-28,130.6765231,33.46973038,Girl
2020-04-29,130.6086627,33.56259713,Girl
2020-04-30,130.7471369,33.50237531,Girl
2020-05-01,130.7655349,33.46292497,Girl
2020-05-02,130.8661933,33.43999805,Girl
2020-05-03,130.9087822,33.43935044,Girl
2020-05-04,130.7107513,33.42837496,Girl
2020-05-05,130.7386297,33.38203245,Girl
2020-05-06,130.7603017,33.27031778,Girl
2020-05-07,130.6774225,33.11664629,Girl
2020-05-08,130.6886305,33.06934589,Girl
2020-05-09,130.7365897,33.11528937,Girl
2020-05-10,130.7224085,33.19879814,Girl
2020-05-11,130.6730963,33.22313487,Girl
2020-05-12,130.6377557,33.35984012,Girl
2020-05-13,130.6169479,33.41010938,Girl
2020-05-14,130.5565622,33.33040073,Girl
2020-05-15,130.6848088,33.40757783,Girl
2020-05-16,130.6626508,33.54876919,Girl
2020-05-17,130.7726917,33.60631763,Girl
2020-05-18,130.5728892,33.63924531,Girl
2020-05-19,130.7725174,33.60883579,Girl
2020-05-20,130.6785617,33.55649625,Girl
2020-05-21,130.753455,33.57175816,Girl
2020-05-22,130.8763014,33.4366715,Girl
2020-05-23,130.7977894,33.58005399,Girl
