Date,Height (cm),Weight (kg),Gender
01-01-2020,131.3802996,42.38491018,Girl
02-01-2020,131.3792298,42.3992695,Girl
03-01-2020,131.4104766,42.45730207,Girl
04-01-2020,131.3557899,42.58799845,Girl
05-01-2020,131.3440411,42.70758374,Girl
06-01-2020,131.2327003,42.66291252,Girl
07-01-2020,131.175003,42.61377934,Girl
08-01-2020,131.0594539,42.56536863,Girl
09-01-2020,131.1500832,42.51199562,Girl
10-01-2020,131.1519317,42.6090553,Girl
11-01-2020,131.2720025,42.65195925,Girl
12-01-2020,131.0595442,42.61280558,Girl
13-01-2020,131.1385673,42.71329291,Girl
14-01-2020,130.9729201,42.70627283,Girl
15-01-2020,130.9414433,42.8217342,Girl
16-01-2020,130.7718946,42.79164762,Girl
17-01-2020,130.8449284,42.72482962,Girl
18-01-2020,130.9048272,42.92380519,Girl
19-01-2020,130.9562161,43.04705299,Girl
20-01-2020,130.9300243,42.86321289,Girl
21-01-2020,130.891396,42.90201296,Girl
22-01-2020,130.8088373,42.97375131,Girl
23-01-2020,130.7714485,42.98891255,Girl
24-01-2020,130.8996091,42.84036854,Girl
25-01-2020,130.7200734,42.64957373,Girl
26-01-2020,130.5638243,42.60332183,Girl
27-01-2020,130.6362582,42.51080263,Girl
28-01-2020,130.7324731,42.62121174,Girl
29-01-2020,130.8945294,42.58917191,Girl
30-01-2020,130.9380627,42.34699083,Girl
31-01-2020,130.8144965,42.28070305,Girl
01-02-2020,130.8648198,42.24503003,Girl
02-02-2020,130.9986083,42.14580025,Girl
03-02-2020,131.1251394,42.03752688,Girl
04-02-2020,131.1514902,42.11335951,Girl
05-02-2020,131.1822537,41.94439013,Girl
06-02-2020,131.1189779,41.81038393,Girl
07-02-2020,131.1026227,41.64631595,Girl
08-02-2020,131.1546275,41.87220754,Girl
09-02-2020,131.244076,41.808233,Girl
10-02-2020,131.042046,41.79787496,Girl
11-02-2020,130.9647145,41.73945878,Girl
12-02-2020,130.6785406,41.72770887,Girl
13-02-2020,130.7911738,41.63020342,Girl
14-02-2020,130.735643,41.4826195,Girl
15-02-2020,130.8379641,41.55001042,Girl
16-02-2020,130.8375582,41.63545254,Girl
17-02-2020,130.9632291,41.57272092,Girl
18-02-2020,131.0952474,41.60312503,Girl
19-02-2020,131.1144721,41.60688546,Girl
20-02-2020,131.0025125,41.55368188,Girl
21-02-2020,131.0128887,41.75863093,Girl
22-02-2020,131.1105417,41.70912797,Girl
23-02-2020,131.0532429,41.61489514,Girl
24-02-2020,131.0107333,41.58871092,Girl
25-02-2020,131.0124355,41.53841715,Girl
26-02-2020,131.1004394,41.53857166,Girl
27-02-2020,131.1049702,41.31448554,Girl
28-02-2020,131.0275349,41.22371036,Girl
29-02-2020,130.975369,40.90836063,Girl
01-03-2020,130.9300033,40.88393235,Girl
02-03-2020,130.9654461,40.90790025,Girl
03-03-2020,130.9939875,40.88031838,Girl
04-03-2020,130.9345526,41.05884555,Girl
05-03-2020,130.8235898,40.90230372,Girl
06-03-2020,130.6861089,41.05458436,Girl
07-03-2020,130.4334315,41.15747837,Girl
08-03-2020,130.5256677,41.09544261,Girl
09-03-2020,130.5573629,41.0460135,Girl
10-03-2020,130.6876848,41.10872239,Girl
11-03-2020,130.7124137,41.25062652,Girl
12-03-2020,130.742854,41.45642156,Girl
13-03-2020,130.866875,41.40212132,Girl
14-03-2020,130.8039073,41.35739739,Girl
15-03-2020,130.8249696,41.41002887,Girl
16-03-2020,130.8528779,41.4571774,Girl
17-03-2020,130.919004,41.45775746,Girl
18-03-2020,130.8868342,41.32011454,Girl
19-03-2020,131.0174073,41.34409613,Girl
20-03-2020,131.0384042,41.37163256,Girl
21-03-2020,130.9710606,41.38028054,Girl
22-03-2020,130.9110539,41.35268647,Girl
23-03-2020,130.9010886,41.15433586,Girl
24-03-2020,130.7683822,41.22540488,Girl
25-03-2020,130.6417624,41.15087329,Girl
26-03-2020,130.6461691,41.24179387,Girl
27-03-2020,130.5442031,41.17544127,Girl
28-03-2020,130.4557273,41.18766273,Girl
29-03-2020,130.4599821,41.17389263,Girl
30-03-2020,130.5646553,41.33852703,Girl
31-03-2020,130.3809378,41.58022098,Girl
01-04-2020,130.4701196,41.71646826,Girl
02-04-2020,130.3801922,41.69117972,Girl
03-04-2020,130.4105683,41.78370732,Girl
04-04-2020,130.3227646,41.84737098,Girl
05-04-2020,130.238996,41.85176677,Girl
06-04-2020,130.1479398,41.91655994,Girl
07-04-2020,130.0663576,42.02380974,Girl
08-04-2020,130.1375734,42.06356641,Girl
09-04-2020,129.9333949,42.23372129,Girl
10-04-2020,129.8272911,42.21216388,Girl
11-04-2020,129.8282737,42.35908768,Girl
12-04-2020,129.7947718,42.35849591,Girl
13-04-2020,129.8453603,42.41665529,Girl
14-04-2020,130.0334628,42.35658819,Girl
15-04-2020,130.010746,42.28578109,Girl
16-04-2020,130.1420007,42.32937884,Girl
17-04-2020,130.0414361,42.18575805,Girl
18-04-2020,130.1180499,42.15486456,Girl
19-04-2020,130.1788159,42.11262879,Girl
20-04-2020,130.2398124,42.15837563,Girl
21-04-2020,130.0615967,42.02224255,Girl
22-04-2020,130.1605082,41.99756155,Girl
23-04-2020,129.9302496,42.04708004,Girl
24-04-2020,129.7997124,42.1689086,Girl
25-04-2020,129.908535,42.35407716,Girl
26-04-2020,129.9107306,42.41253347,Girl
27-04-2020,130.0376815,42.42714077,Girl
28-04-2020,130.1443161,42.28944337,Girl
29-04-2020,130.2652953,42.41460623,Girl
30-04-2020,130.3045536,42.37765011,Girl
01-05-2020,130.2697655,42.6155159,Girl
02-05-2020,130.2096957,42.54996945,Girl
03-05-2020,130.1812876,42.40090909,Girl
04-05-2020,130.2850376,42.23466084,Girl
05-05-2020,130.1880501,42.45433273,Girl
06-05-2020,130.2697888,42.25525006,Girl
07-05-2020,130.1695323,42.41419481,Girl
08-05-2020,130.2902977,42.37628983,Girl
09-05-2020,130.2401448,42.18055057,Girl
10-05-2020,130.3155521,42.10588381,Girl
11-05-2020,130.4732035,41.99073621,Girl
12-05-2020,130.4447567,41.98334426,Girl
13-05-2020,130.2965467,41.82655814,Girl
14-05-2020,130.4205676,41.92476456,Girl
15-05-2020,130.4850837,41.95465277,Girl
16-05-2020,130.4377655,42.10155592,Girl
17-05-2020,130.5663025,42.03706791,Girl
18-05-2020,130.480275,41.96985897,Girl
19-05-2020,130.4627948,42.03766721,Girl
20-05-2020,130.5794308,42.03643449,Girl
21-05-2020,130.5633351,41.91805461,Girl
