Date,Height (cm),Weight (kg),Gender
01-01-2020,133.5859214,33.73635755,Boy
02-01-2020,133.6005527,33.72444275,Boy
03-01-2020,133.6117431,33.74056345,Boy
04-01-2020,133.6430821,33.58183954,Boy
05-01-2020,133.6636004,33.4555267,Boy
06-01-2020,133.786936,33.42464346,Boy
07-01-2020,133.7981685,33.45721254,Boy
08-01-2020,133.7923653,33.49233319,Boy
09-01-2020,133.8603438,33.41740584,Boy
10-01-2020,133.7146978,33.46255968,Boy
11-01-2020,133.7112576,33.59660022,Boy
12-01-2020,133.8271044,33.74241289,Boy
13-01-2020,133.8424725,33.70662926,Boy
14-01-2020,133.714572,33.77042836,Boy
15-01-2020,133.8035311,33.95507779,Boy
16-01-2020,134.0093114,33.77688123,Boy
17-01-2020,134.1688236,33.65178254,Boy
18-01-2020,134.2583658,33.64152833,Boy
19-01-2020,134.3281156,33.66365718,Boy
20-01-2020,134.3076644,33.42855814,Boy
21-01-2020,134.4459982,33.33366084,Boy
22-01-2020,134.5044938,33.42350108,Boy
23-01-2020,134.5714514,33.47692765,Boy
24-01-2020,134.661078,33.54475581,Boy
25-01-2020,134.5156448,33.57431911,Boy
26-01-2020,134.414978,33.66342792,Boy
27-01-2020,134.2922393,33.84187581,Boy
28-01-2020,134.1760626,33.86760631,Boy
29-01-2020,134.1227392,33.74641658,Boy
30-01-2020,134.070186,33.74086977,Boy
31-01-2020,134.0053658,33.79967375,Boy
01-02-2020,133.8571664,33.78344752,Boy
02-02-2020,133.8732809,33.80216151,Boy
03-02-2020,133.8976975,33.71400732,Boy
04-02-2020,133.9582134,33.59544859,Boy
05-02-2020,133.9256275,33.5890544,Boy
06-02-2020,133.8001152,33.40660718,Boy
07-02-2020,133.6587329,33.47508644,Boy
08-02-2020,133.7203657,33.29783756,Boy
09-02-2020,133.8404721,33.41921157,Boy
10-02-2020,133.8893391,33.46047263,Boy
11-02-2020,133.8369472,33.28837189,Boy
12-02-2020,133.919477,33.19372396,Boy
13-02-2020,133.7802481,33.19163033,Boy
14-02-2020,133.7864524,33.27466768,Boy
15-02-2020,133.6645434,33.31856695,Boy
16-02-2020,133.4681234,33.22387438,Boy
17-02-2020,133.3299367,33.23000479,Boy
18-02-2020,133.185674,33.22484993,Boy
19-02-2020,133.2980652,33.18933639,Boy
20-02-2020,133.1216823,32.91083512,Boy
21-02-2020,133.2493882,32.92398568,Boy
22-02-2020,133.3192174,32.89409667,Boy
23-02-2020,133.2869669,32.84738213,Boy
24-02-2020,133.3796028,32.86883583,Boy
25-02-2020,133.4821606,32.95813942,Boy
