Date,Height (cm),Weight (kg),Gender
01-01-2020,143.3764509,37.21391042,Boy
02-01-2020,143.3147007,37.15633217,Boy
03-01-2020,143.2117802,37.28854509,Boy
04-01-2020,143.0736111,37.24767191,Boy
05-01-2020,143.2725186,37.16802184,Boy
06-01-2020,143.318621,37.24750341,Boy
07-01-2020,143.1602576,37.41490508,Boy
08-01-2020,143.1870072,37.50150115,Boy
09-01-2020,143.1202285,37.59396877,Boy
10-01-2020,143.0273398,37.6738845,Boy
11-01-2020,142.9400286,37.66536399,Boy
12-01-2020,142.9520588,37.67897586,Boy
13-01-2020,142.9218824,37.60164854,Boy
14-01-2020,142.8701017,37.6064685,Boy
15-01-2020,142.7935922,37.56099255,Boy
16-01-2020,142.8513593,37.60141593,Boy
17-01-2020,142.963506,37.8523084,Boy
18-01-2020,143.0794998,37.80026325,Boy
19-01-2020,143.1336273,37.66663505,Boy
20-01-2020,143.0888274,37.67598813,Boy
21-01-2020,143.0545891,37.48809476,Boy
22-01-2020,143.0473333,37.43659135,Boy
23-01-2020,143.1362474,37.52257692,Boy
24-01-2020,143.2640975,37.60641471,Boy
25-01-2020,143.387132,37.61534481,Boy
26-01-2020,143.3022655,37.5724728,Boy
27-01-2020,143.2865845,37.68653646,Boy
28-01-2020,143.1586196,37.76428821,Boy
29-01-2020,143.1627461,37.63112414,Boy
30-01-2020,143.0141869,37.5609019,Boy
31-01-2020,142.9331211,37.64590882,Boy
01-02-2020,142.9944223,37.75337223,Boy
02-02-2020,143.0880398,37.7593361,Boy
03-02-2020,143.1693534,37.71418962,Boy
04-02-2020,143.2911798,37.80057813,Boy
05-02-2020,143.2180946,37.9061531,Boy
06-02-2020,143.2750043,37.85356458,Boy
07-02-2020,143.4179732,37.80546539,Boy
08-02-2020,143.5124027,37.90370948,Boy
09-02-2020,143.5385639,37.95482498,Boy
10-02-2020,143.5606774,37.96371803,Boy
11-02-2020,143.4832267,37.90040416,Boy
12-02-2020,143.3333142,37.78363518,Boy
13-02-2020,143.4200459,37.82974708,Boy
14-02-2020,143.5039823,37.76733344,Boy
15-02-2020,143.5440477,37.79403432,Boy
16-02-2020,143.7425028,37.84502162,Boy
17-02-2020,143.8403962,37.90653416,Boy
18-02-2020,143.9101638,37.64999528,Boy
19-02-2020,143.8439152,37.44536482,Boy
20-02-2020,143.9260836,37.5612835,Boy
21-02-2020,143.8356626,37.53046114,Boy
22-02-2020,143.7808751,37.54957228,Boy
23-02-2020,143.7699908,37.53596774,Boy
24-02-2020,143.687129,37.45445827,Boy
25-02-2020,143.5284361,37.50114429,Boy
26-02-2020,143.4517864,37.65311473,Boy
27-02-2020,143.3148079,37.62267806,Boy
28-02-2020,143.3255024,37.42381447,Boy
29-02-2020,143.2494932,37.38564348,Boy
01-03-2020,143.3949615,37.24708427,Boy
02-03-2020,143.3853689,37.2622681,Boy
03-03-2020,143.4519028,37.1808724,Boy
04-03-2020,143.4672569,37.19180678,Boy
05-03-2020,143.4271389,37.07086831,Boy
06-03-2020,143.4478253,37.08534651,Boy
07-03-2020,143.3492879,36.96725621,Boy
08-03-2020,143.2310447,36.93033397,Boy
09-03-2020,143.1758162,36.91391719,Boy
10-03-2020,143.2767671,36.8410954,Boy
11-03-2020,143.2286037,36.61279952,Boy
12-03-2020,143.2731818,36.81666191,Boy
13-03-2020,143.2110405,36.75237051,Boy
14-03-2020,143.1236282,36.76829041,Boy
15-03-2020,143.2220306,36.89550123,Boy
16-03-2020,143.2481695,36.83754021,Boy
17-03-2020,143.2631984,36.87133362,Boy
18-03-2020,143.2527959,36.73628989,Boy
19-03-2020,143.3343385,36.824737,Boy
20-03-2020,143.3726833,36.84774018,Boy
21-03-2020,143.2473709,37.01051433,Boy
