Date,Height (cm),Weight (kg),Gender
2020-01-01,133.6128926,44.06990581,Boy
2020-01-02,133.5747318,43.9792815,Boy
2020-01-03,133.5132761,43.973153,Boy
2020-01-04,133.5575101,44.01595097,Boy
2020-01-05,133.7938044,44.0910555,Boy
2020-01-06,133.776229,44.09731793,Boy
2020-01-07,133.8395818,44.0391013,Boy
2020-01-08,133.9438764,44.07318796,Boy
2020-01-09,134.2164116,44.10341901,Boy
2020-01-10,134.2199536,44.20696896,Boy
2020-01-11,134.1313201,44.09247477,Boy
2020-01-12,134.2271149,43.90077546,Boy
2020-01-13,134.0104558,43.84908375,Boy
2020-01-14,134.1303418,43.99608601,Boy
2020-01-15,134.0328334,43.89806094,Boy
2020-01-16,133.9398727,43.81588643,Boy
2020-01-17,133.9410489,43.70826826,Boy
2020-01-18,133.9408348,43.58857822,Boy
2020-01-19,134.2322849,43.5959219,Boy
2020-01-20,134.2155958,43.58213864,Boy
2020-01-21,134.2940753,43.50776735,Boy
2020-01-22,134.2286374,43.52117306,Boy
2020-01-23,134.1160818,43.44328523,Boy
2020-01-24,134.1520507,43.45445029,Boy
2020-01-25,134.1075103,43.43990637,Boy
2020-01-26,133.8934656,43.3795289,Boy
2020-01-27,134.014974,43.39222552,Boy
2020-01-28,134.0826845,43.33105669,Boy
2020-01-29,134.2001531,43.32698362,Boy
2020-01-30,134.3661091,43.19072359,Boy
2020-01-31,134.3838531,43.29282753,Boy
2020-02-01,134.3819895,43.27806328,Boy
2020-02-02,134.2390667,43.27807022,Boy
2020-02-03,134.2520776,43.54966567,Boy
2020-02-04,134.3377163,43.47004016,Boy
2020-02-05,134.2850031,43.53342455,Boy
2020-02-06,134.2458032,43.57245955,Boy
2020-02-07,134.0392864,43.65106308,Boy
2020-02-08,134.1331039,43.75271389,Boy
2020-02-09,134.0759886,43.74853716,Boy
2020-02-10,134.0901037,43.82297845,Boy
2020-02-11,134.2299803,43.64870373,Boy
2020-02-12,134.3098152,43.57721776,Boy
2020-02-13,134.2363994,43.6397397,Boy
2020-02-14,134.3403182,43.62117427,Boy
2020-02-15,134.3313224,43.47863884,Boy
2020-02-16,134.3397338,43.58614164,Boy
2020-02-17,134.4184,43.54274676,Boy
2020-02-18,134.532206,43.47674865,Boy
2020-02-19,134.6437051,43.53611633,Boy
2020-02-20,134.7088041,43.5302275,Boy
2020-02-21,134.7143754,43.54258411,Boy
2020-02-22,134.5417313,43.43316374,Boy
2020-02-23,134.4742427,43.47493462,Boy
2020-02-24,134.4974106,43.39387199,Boy
2020-02-25,134.6900032,43.38811898,Boy
2020-02-26,134.7118333,43.29135491,Boy
2020-02-27,134.8194151,43.42696822,Boy
2020-02-28,134.6361916,43.5015665,Boy
2020-02-29,134.7768375,43.39685512,Boy
2020-03-01,134.7010154,43.31753334,Boy
2020-03-02,134.8416118,43.22745718,Boy
2020-03-03,134.7913583,43.2647791,Boy
2020-03-04,134.6782331,43.19104561,Boy
2020-03-05,134.6544624,43.27748197,Boy
2020-03-06,134.7501307,43.19541015,Boy
2020-03-07,134.9162199,43.16283,Boy
2020-03-08,134.9260445,43.11302788,Boy
2020-03-09,135.1120238,43.29323239,Boy
2020-03-10,134.9998567,43.29745067,Boy
2020-03-11,134.8922795,43.1478931,Boy
2020-03-12,134.7458631,43.1045131,Boy
2020-03-13,134.764271,43.06895862,Boy
2020-03-14,134.8051647,42.95069771,Boy
2020-03-15,134.8563864,43.18843913,Boy
2020-03-16,134.8334189,43.08786456,Boy
2020-03-17,134.9770306,43.12689389,Boy
2020-03-18,135.0288145,43.0743764,Boy
2020-03-19,135.0868917,43.267342,Boy
2020-03-20,135.0982624,43.31150339,Boy
2020-03-21,135.0258464,43.31485087,Boy
2020-03-22,135.2938347,43.42994922,Boy
2020-03-23,135.4851127,43.476772,Boy
2020-03-24,135.3469586,43.42404133,Boy
2020-03-25,135.3275022,43.58183566,Boy
2020-03-26,135.2534325,43.54869255,Boy
2020-03-27,135.3232888,43.70268408,Boy
2020-03-28,135.2739293,43.82953467,Boy
2020-03-29,135.3073076,43.9167591,Boy
2020-03-30,135.4543953,43.85381937,Boy
2020-03-31,135.2655181,43.99298242,Boy
2020-04-01,135.3135979,44.02731408,Boy
2020-04-02,135.1682187,44.03919695,Boy
2020-04-03,135.1053721,44.11457568,Boy
2020-04-04,135.1072603,44.11503181,Boy
2020-04-05,135.1878642,44.13543084,Boy
2020-04-06,135.1567745,44.10756831,Boy
2020-04-07,135.2125584,44.05852419,Boy
2020-04-08,135.2264796,43.9641505,Boy
2020-04-09,135.1033815,44.0562221,Boy
2020-04-10,135.1385491,44.18079691,Boy
2020-04-11,135.182822,44.17633237,Boy
2020-04-12,135.0151,44.08586461,Boy
2020-04-13,135.0461893,43.99436386,Boy
2020-04-14,134.9834982,43.92981723,Boy
2020-04-15,134.9467284,43.76109487,Boy
2020-04-16,134.7441807,43.89800188,Boy
2020-04-17,134.7590162,43.94454985,Boy
2020-04-18,134.7211207,43.93313215,Boy
2020-04-19,134.6738233,44.05435182,Boy
2020-04-20,134.7328541,44.0434504,Boy
