Date,Height (cm),Weight (kg),Gender
01-01-2020,126.0836318,39.75409834,Boy
02-01-2020,126.0085374,39.59925083,Boy
03-01-2020,125.9925532,39.49503496,Boy
04-01-2020,125.7761,39.53844848,Boy
05-01-2020,125.8873486,39.47484129,Boy
06-01-2020,125.9416462,39.36240294,Boy
07-01-2020,126.024846,39.31006671,Boy
08-01-2020,125.9521755,39.32896076,Boy
09-01-2020,125.9381855,39.46226029,Boy
10-01-2020,125.9184517,39.58686197,Boy
11-01-2020,125.8135255,39.63356547,Boy
12-01-2020,126.1463888,39.53868599,Boy
13-01-2020,126.1580741,39.41877517,Boy
14-01-2020,126.2179599,39.58503366,Boy
15-01-2020,126.4194501,39.72272208,Boy
16-01-2020,126.3995757,39.77545148,Boy
17-01-2020,126.4401455,39.59914203,Boy
18-01-2020,126.5518261,39.63828691,Boy
19-01-2020,126.3560637,39.71199391,Boy
20-01-2020,126.4561498,39.69916386,Boy
21-01-2020,126.5546022,39.63534005,Boy
22-01-2020,126.6157333,39.50340849,Boy
23-01-2020,126.7128562,39.49082711,Boy
24-01-2020,126.8397272,39.34206756,Boy
25-01-2020,126.9070596,39.38001491,Boy
26-01-2020,126.8149612,39.31269656,Boy
27-01-2020,126.9981154,39.41157627,Boy
28-01-2020,127.1716016,39.42588209,Boy
29-01-2020,127.2864604,39.43484001,Boy
30-01-2020,127.1294148,39.41080225,Boy
31-01-2020,127.1071592,39.36960969,Boy
01-02-2020,127.0900776,39.46755785,Boy
02-02-2020,127.075879,39.47836183,Boy
03-02-2020,127.1224956,39.36258587,Boy
04-02-2020,127.0544217,39.24079493,Boy
05-02-2020,127.054412,39.22441504,Boy
06-02-2020,126.9678836,39.13987385,Boy
07-02-2020,126.8977032,39.27766891,Boy
08-02-2020,126.886466,39.1874587,Boy
09-02-2020,126.9465449,39.22377117,Boy
10-02-2020,126.7985415,39.20315792,Boy
11-02-2020,126.7135093,39.05766144,Boy
12-02-2020,126.7801542,39.173486,Boy
13-02-2020,126.703868,39.07725573,Boy
14-02-2020,126.7293282,39.11201404,Boy
15-02-2020,126.7827958,39.17045622,Boy
16-02-2020,126.9537734,39.1079749,Boy
17-02-2020,126.7675296,39.06984464,Boy
18-02-2020,126.7197317,39.10620685,Boy
19-02-2020,126.6807249,39.21900978,Boy
20-02-2020,126.7127933,39.244264,Boy
21-02-2020,126.7441163,39.25339457,Boy
22-02-2020,126.6569864,39.33939107,Boy
23-02-2020,126.6971086,39.2391157,Boy
24-02-2020,126.6478324,39.14460104,Boy
25-02-2020,126.5565649,39.1678821,Boy
26-02-2020,126.7304852,39.26468981,Boy
27-02-2020,126.7235467,39.17986185,Boy
28-02-2020,126.6907777,39.25564973,Boy
29-02-2020,126.6848828,39.23320167,Boy
01-03-2020,126.6436882,39.2219554,Boy
02-03-2020,126.5594282,39.16434798,Boy
03-03-2020,126.532491,39.27901152,Boy
04-03-2020,126.4517567,39.2952207,Boy
05-03-2020,126.5538362,39.26210795,Boy
06-03-2020,126.6242276,39.31441266,Boy
07-03-2020,126.6745448,39.46054348,Boy
08-03-2020,126.6735072,39.47139419,Boy
09-03-2020,126.3878176,39.43593723,Boy
10-03-2020,126.6154922,39.39421487,Boy
11-03-2020,126.6863947,39.4367124,Boy
12-03-2020,126.8244553,39.50755315,Boy
13-03-2020,126.8471981,39.56938968,Boy
14-03-2020,127.1125378,39.53267867,Boy
15-03-2020,127.1539147,39.64387906,Boy
16-03-2020,127.0163765,39.61065692,Boy
17-03-2020,127.0777519,39.81680694,Boy
18-03-2020,127.1307691,39.68668331,Boy
19-03-2020,127.1930963,39.7163883,Boy
20-03-2020,127.1549509,39.82814145,Boy
21-03-2020,127.2005289,39.76539629,Boy
22-03-2020,127.1479045,39.71362602,Boy
23-03-2020,127.1680338,39.7142339,Boy
24-03-2020,127.204177,39.67161503,Boy
25-03-2020,127.2281372,39.7129767,Boy
26-03-2020,127.2366655,39.75047766,Boy
27-03-2020,127.2155024,39.91285371,Boy
28-03-2020,127.2627196,40.06601877,Boy
29-03-2020,127.0979522,40.18714533,Boy
30-03-2020,127.2006723,40.05326359,Boy
31-03-2020,127.4075903,39.84099579,Boy
01-04-2020,127.3356063,39.71110193,Boy
02-04-2020,127.4355628,39.89404809,Boy
03-04-2020,127.3957559,39.88638227,Boy
04-04-2020,127.2797886,39.95458697,Boy
05-04-2020,127.3354613,39.94355733,Boy
06-04-2020,127.3858115,39.89347338,Boy
07-04-2020,127.1565597,39.93041409,Boy
08-04-2020,127.0421073,39.88237714,Boy
09-04-2020,127.1414952,40.04053693,Boy
10-04-2020,127.227782,39.99646247,Boy
11-04-2020,127.3351868,39.91444155,Boy
12-04-2020,127.4441859,40.10897475,Boy
13-04-2020,127.3973351,40.03157105,Boy
14-04-2020,127.4096842,40.03529416,Boy
15-04-2020,127.4272683,40.16019405,Boy
16-04-2020,127.4623924,40.23978552,Boy
17-04-2020,127.3464546,40.31095393,Boy
18-04-2020,127.479194,40.28565322,Boy
19-04-2020,127.4030288,40.20438093,Boy
20-04-2020,127.425214,40.1050217,Boy
21-04-2020,127.4670599,40.20786807,Boy
22-04-2020,127.4794408,40.28418205,Boy
23-04-2020,127.4986536,40.37628823,Boy
24-04-2020,127.5901661,40.400133,Boy
25-04-2020,127.5685324,40.5359494,Boy
26-04-2020,127.6947035,40.53810142,Boy
27-04-2020,127.7270682,40.60606879,Boy
28-04-2020,127.643334,40.50755361,Boy
29-04-2020,127.7148684,40.42141049,Boy
30-04-2020,127.7701599,40.45633785,Boy
01-05-2020,127.7586021,40.48294168,Boy
02-05-2020,127.7155795,40.35355334,Boy
03-05-2020,127.8780724,40.3754722,Boy
04-05-2020,127.8930275,40.39332523,Boy
05-05-2020,127.7712584,40.46762751,Boy
06-05-2020,127.8083285,40.663826,Boy
07-05-2020,127.7495312,40.55506818,Boy
08-05-2020,127.8001354,40.47507956,Boy
09-05-2020,127.8411131,40.41952934,Boy
10-05-2020,127.9038485,40.52428201,Boy
11-05-2020,127.9375819,40.4168092,Boy
12-05-2020,128.0183775,40.4514921,Boy
13-05-2020,128.1007009,40.41709179,Boy
14-05-2020,128.0309696,40.46568265,Boy
15-05-2020,127.9879441,40.64342674,Boy
16-05-2020,127.986866,40.68399783,Boy
17-05-2020,127.8918779,40.65075732,Boy
18-05-2020,128.0149587,40.49301471,Boy
19-05-2020,127.9127832,40.60102964,Boy
20-05-2020,128.0318294,40.58834888,Boy
21-05-2020,128.0114711,40.74729778,Boy
22-05-2020,128.1284829,40.74162929,Boy
23-05-2020,128.1227084,40.68814555,Boy
24-05-2020,128.0066634,40.71660286,Boy
25-05-2020,128.1687965,40.68167866,Boy
26-05-2020,128.0761916,40.71444311,Boy
27-05-2020,128.0711342,40.58756932,Boy
28-05-2020,128.1044324,40.5449515,Boy
29-05-2020,127.9835054,40.50018846,Boy
30-05-2020,127.8359084,40.56879358,Boy
31-05-2020,128.0890533,40.686183,Boy
01-06-2020,128.0450647,40.69193184,Boy
02-06-2020,128.1316599,40.73842781,Boy
03-06-2020,128.0141739,40.77812487,Boy
04-06-2020,128.1919042,40.76105105,Boy
05-06-2020,128.3053258,40.85213828,Boy
06-06-2020,128.3024872,40.9045375,Boy
07-06-2020,128.2753294,41.01111987,Boy
08-06-2020,128.0451239,41.14966226,Boy
09-06-2020,128.1434471,41.2113132,Boy
10-06-2020,128.2029732,41.23272477,Boy
11-06-2020,128.291129,41.13216593,Boy
12-06-2020,128.3200885,41.14309174,Boy
13-06-2020,128.4436503,41.31110123,Boy
14-06-2020,128.4997462,41.22756565,Boy
15-06-2020,128.4796232,41.19939025,Boy
16-06-2020,128.4767423,41.21215328,Boy
17-06-2020,128.49186,41.26845959,Boy
18-06-2020,128.5706216,41.39367624,Boy
19-06-2020,128.5519864,41.53762507,Boy
20-06-2020,128.669499,41.52398602,Boy
21-06-2020,128.7451555,41.64033209,Boy
22-06-2020,128.7906025,41.70310659,Boy
23-06-2020,128.8315103,41.86398565,Boy
24-06-2020,128.8301419,42.03290456,Boy
25-06-2020,128.7168734,41.97368572,Boy
26-06-2020,128.7856754,41.95589058,Boy
27-06-2020,128.7209674,41.99897574,Boy
28-06-2020,128.6392575,41.86287927,Boy
29-06-2020,128.7239046,41.8250286,Boy
30-06-2020,128.5390535,41.84411686,Boy
01-07-2020,128.5379083,41.68533854,Boy
02-07-2020,128.7584534,41.71737795,Boy
03-07-2020,128.7974253,41.75796607,Boy
04-07-2020,128.8068162,42.06166289,Boy
05-07-2020,128.8501705,42.05303413,Boy
06-07-2020,128.8153332,42.07951436,Boy
07-07-2020,128.8121777,42.19569986,Boy
08-07-2020,128.9692541,42.25839363,Boy
09-07-2020,129.0234586,42.40503299,Boy
10-07-2020,129.0233219,42.51140381,Boy
11-07-2020,129.1196777,42.51191404,Boy
12-07-2020,129.1061129,42.52443906,Boy
13-07-2020,129.03895,42.3521038,Boy
14-07-2020,129.1169136,42.49241738,Boy
15-07-2020,129.2556957,42.61077664,Boy
16-07-2020,129.3278541,42.75231592,Boy
17-07-2020,129.3231619,42.88794669,Boy
18-07-2020,129.35153,42.9157021,Boy
19-07-2020,129.1443205,42.80161651,Boy
20-07-2020,129.0763908,42.88577145,Boy
21-07-2020,129.0097974,42.90983449,Boy
22-07-2020,129.0000131,42.61286946,Boy
23-07-2020,128.9754921,42.76899741,Boy
24-07-2020,128.9516547,42.71044284,Boy
25-07-2020,129.0808578,42.83303928,Boy
26-07-2020,128.9451738,42.99532983,Boy
27-07-2020,128.8283665,43.03398875,Boy
28-07-2020,128.7968933,43.05169265,Boy
29-07-2020,128.7735845,43.01375143,Boy
30-07-2020,128.7216035,42.96526521,Boy
31-07-2020,128.8495246,42.92069807,Boy
01-08-2020,128.8844796,43.01500745,Boy
02-08-2020,128.9998373,43.18287585,Boy
03-08-2020,128.9014935,43.11899224,Boy
04-08-2020,128.6103439,43.16420817,Boy
05-08-2020,128.7256216,43.14422279,Boy
06-08-2020,128.7184148,42.95754625,Boy
07-08-2020,128.6750137,42.9407623,Boy
08-08-2020,128.6813783,42.92223319,Boy
09-08-2020,128.6796913,42.89607606,Boy
10-08-2020,128.6411943,42.96258236,Boy
11-08-2020,128.6652876,43.08372155,Boy
12-08-2020,128.7102688,42.7922343,Boy
13-08-2020,128.5620882,42.75319873,Boy
14-08-2020,128.503211,42.80229201,Boy
15-08-2020,128.445187,42.78438803,Boy
16-08-2020,128.4552762,42.66499003,Boy
17-08-2020,128.3664689,42.6351787,Boy
18-08-2020,128.5030264,42.6831488,Boy
19-08-2020,128.5524004,42.4905549,Boy
20-08-2020,128.6183167,42.51451872,Boy
21-08-2020,128.5074443,42.33178943,Boy
22-08-2020,128.5851132,42.27000326,Boy
23-08-2020,128.6496624,42.27172709,Boy
24-08-2020,128.6634319,42.20841058,Boy
25-08-2020,128.5376007,42.1723626,Boy
26-08-2020,128.5432321,42.15514517,Boy
