Date,Height (cm),Weight (kg),Gender
2020-01-01,149.0154013,33.2298789,Boy
2020-01-02,149.2535915,33.13097379,Boy
2020-01-03,149.3874572,33.13890668,Boy
2020-01-04,149.3836438,33.16478466,Boy
2020-01-05,149.3259829,33.26880952,Boy
2020-01-06,149.4698809,33.53243327,Boy
2020-01-07,149.4117764,33.52829802,Boy
2020-01-08,149.3686334,33.4713876,Boy
2020-01-09,149.4146785,33.44242311,Boy
2020-01-10,149.4410332,33.30670376,Boy
2020-01-11,149.6437195,33.41440078,Boy
2020-01-12,149.6166485,33.38117324,Boy
2020-01-13,149.6004104,33.38985426,Boy
2020-01-14,149.7429643,33.37696871,Boy
2020-01-15,149.6579216,33.52089113,Boy
2020-01-16,149.7045167,33.44109387,Boy
2020-01-17,149.8338205,33.39992238,Boy
2020-01-18,149.6820596,33.3934916,Boy
2020-01-19,149.8904896,33.30983861,Boy
2020-01-20,149.7381548,33.16583272,Boy
2020-01-21,149.736105,33.20365918,Boy
2020-01-22,149.7314837,33.32202405,Boy
2020-01-23,149.792909,33.17510208,Boy
2020-01-24,149.7454544,33.20681066,Boy
2020-01-25,149.9677514,33.35979229,Boy
2020-01-26,149.7801016,33.29417877,Boy
2020-01-27,149.8520552,33.28449793,Boy
2020-01-28,149.9377174,33.23405552,Boy
2020-01-29,150.0289373,33.16140652,Boy
2020-01-30,150.0971565,33.31852249,Boy
2020-01-31,150.1051578,33.32746503,Boy
2020-02-01,150.1140798,33.33746514,Boy
2020-02-02,150.2245914,33.46330648,Boy
2020-02-03,150.1427256,33.44002447,Boy
2020-02-04,150.0824732,33.35404126,Boy
2020-02-05,149.8521334,33.49010482,Boy
2020-02-06,149.7651557,33.59670886,Boy
2020-02-07,149.9085125,33.66767044,Boy
2020-02-08,149.9275409,33.65489524,Boy
2020-02-09,149.9599592,33.82609006,Boy
2020-02-10,150.0416779,33.74249699,Boy
2020-02-11,149.9326605,33.86413544,Boy
2020-02-12,150.2527417,33.95746085,Boy
2020-02-13,150.1702321,34.19942654,Boy
2020-02-14,150.2099658,34.15344811,Boy
2020-02-15,150.1711475,34.07883985,Boy
2020-02-16,150.0335879,34.10900574,Boy
2020-02-17,150.1005094,34.16769529,Boy
2020-02-18,150.2227505,34.13504812,Boy
2020-02-19,150.0190242,34.47087915,Boy
2020-02-20,150.2092206,34.53035507,Boy
2020-02-21,150.412657,34.64735538,Boy
2020-02-22,150.6159914,34.62036524,Boy
2020-02-23,150.5749166,34.64970573,Boy
2020-02-24,150.5725846,34.68941709,Boy
2020-02-25,150.6781773,34.68008616,Boy
2020-02-26,150.5291017,34.85467307,Boy
2020-02-27,150.4808396,35.08807433,Boy
2020-02-28,150.6769728,35.20559775,Boy
2020-02-29,150.8807635,35.18262583,Boy
2020-03-01,150.656023,35.03636754,Boy
2020-03-02,150.5873128,35.07953222,Boy
2020-03-03,150.4302926,35.08546289,Boy
2020-03-04,150.3644556,35.10444153,Boy
2020-03-05,150.4335952,35.15016394,Boy
