Date,Height (cm),Weight (kg),Gender
2020-01-01,137.27638,37.59359764,Boy
2020-01-02,137.029065,37.85149207,Boy
2020-01-03,136.9304645,37.9857232,Boy
2020-01-04,136.7850201,37.89857843,Boy
2020-01-05,136.7130179,38.01905402,Boy
2020-01-06,136.7571391,38.13761989,Boy
2020-01-07,136.8267425,38.21922288,Boy
2020-01-08,136.8375196,38.17691117,Boy
2020-01-09,136.9399607,38.12394797,Boy
2020-01-10,137.1417739,38.1973043,Boy
2020-01-11,137.2712275,38.26656869,Boy
2020-01-12,137.3407181,38.32854716,Boy
2020-01-13,137.4523265,38.33589802,Boy
2020-01-14,137.4144809,38.18008097,Boy
2020-01-15,137.4156707,38.11363395,Boy
2020-01-16,137.3422565,38.14553924,Boy
2020-01-17,137.4803121,38.09441108,Boy
2020-01-18,137.5206668,38.20974203,Boy
2020-01-19,137.533469,38.23091027,Boy
2020-01-20,137.4796416,38.32272308,Boy
2020-01-21,137.682073,38.37915755,Boy
2020-01-22,137.5462113,38.50928458,Boy
2020-01-23,137.3947131,38.42863006,Boy
2020-01-24,137.3189706,38.26048752,Boy
2020-01-25,137.2530452,38.25655758,Boy
2020-01-26,137.0991326,38.28418118,Boy
2020-01-27,136.9880522,38.30766968,Boy
2020-01-28,137.0667907,38.27320389,Boy
2020-01-29,137.050494,38.31012615,Boy
2020-01-30,137.0367177,38.41394047,Boy
2020-01-31,137.0588594,38.49058174,Boy
2020-02-01,137.0002396,38.66304688,Boy
2020-02-02,136.9679736,38.84843881,Boy
2020-02-03,137.0597461,38.71185292,Boy
2020-02-04,136.9846179,38.61147475,Boy
2020-02-05,136.983163,38.6193797,Boy
2020-02-06,136.8953246,38.56622519,Boy
2020-02-07,137.0135179,38.56366261,Boy
2020-02-08,136.963354,38.64690916,Boy
2020-02-09,136.9717188,38.6666507,Boy
2020-02-10,136.9821048,38.73333047,Boy
2020-02-11,137.1193359,38.71046973,Boy
2020-02-12,137.2475661,38.68511719,Boy
2020-02-13,137.2576238,38.80700587,Boy
2020-02-14,137.1541537,38.85298869,Boy
2020-02-15,137.1786616,39.02596507,Boy
2020-02-16,137.2337989,39.03384436,Boy
2020-02-17,137.2429998,39.02831186,Boy
2020-02-18,137.2992002,39.04356859,Boy
2020-02-19,137.4714688,38.92200079,Boy
2020-02-20,137.3939154,39.07068965,Boy
2020-02-21,137.4424955,38.97722578,Boy
2020-02-22,137.4010499,38.91796846,Boy
2020-02-23,137.506079,38.89212889,Boy
2020-02-24,137.4759797,38.95737207,Boy
2020-02-25,137.6490443,38.76381326,Boy
2020-02-26,137.7317481,38.60760731,Boy
2020-02-27,137.8265281,38.54089056,Boy
2020-02-28,137.7786944,38.56605022,Boy
2020-02-29,137.8963198,38.47695654,Boy
2020-03-01,137.9076213,38.68091283,Boy
2020-03-02,137.9909954,38.76842059,Boy
2020-03-03,137.966418,38.92378712,Boy
2020-03-04,137.9730313,38.89757843,Boy
2020-03-05,138.0918767,39.01035607,Boy
2020-03-06,138.1183489,39.05691946,Boy
2020-03-07,138.1922535,38.90819618,Boy
2020-03-08,138.2536672,38.95131478,Boy
2020-03-09,138.292067,39.15953746,Boy
2020-03-10,138.432582,39.118189,Boy
2020-03-11,138.3324147,39.08531739,Boy
2020-03-12,138.3308001,38.94651257,Boy
2020-03-13,138.3269875,38.90240903,Boy
2020-03-14,138.3442354,38.9270905,Boy
2020-03-15,138.2942845,38.92016425,Boy
2020-03-16,138.2236909,38.79239416,Boy
2020-03-17,138.1841638,38.85077069,Boy
2020-03-18,138.1672453,38.93853852,Boy
2020-03-19,138.2692635,38.86214071,Boy
2020-03-20,138.4214887,39.00206669,Boy
2020-03-21,138.3955545,39.05890103,Boy
2020-03-22,138.289406,39.12638786,Boy
2020-03-23,138.1006727,39.24639121,Boy
2020-03-24,138.0292443,39.30358303,Boy
2020-03-25,138.0113071,39.26587963,Boy
2020-03-26,137.8717451,39.31578651,Boy
2020-03-27,137.9436778,39.18582038,Boy
2020-03-28,138.027894,39.2999304,Boy
2020-03-29,138.0516581,39.3617828,Boy
2020-03-30,138.312556,39.13343731,Boy
2020-03-31,138.3085979,39.13143048,Boy
2020-04-01,138.4567762,39.27073737,Boy
2020-04-02,138.461004,39.28703235,Boy
